"Dates" "2-07" "2-08" "2-09" "2-11" "2-12" "2-13" "2-14" "2-15" "2-17" "2-18" "2-19" "2-21" "2-23" "2-24" "2-26" "2-27" "2-28" "2-29" "2-30" "2-31" "2-34" "2-37" "3-23" "3-24" "3-25" "3-27" "3-28" "3-29" "3-30" "3-31" "3-32" "3-35"
2010-05-11 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2010-05-12 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2010-05-13 NA NA NA NA NA NA NA NA 440 NA NA 452 454 446 445 NA NA 445 NA NA NA NA 427 420 448 425 437 NA 458 NA NA NA
2010-05-14 NA NA NA NA NA NA NA NA NA NA NA 453 456 444 450 NA NA 453 NA NA 456 451 430 426 448 429 444 NA NA NA NA NA
2010-05-15 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
2010-05-16 NA NA NA NA NA NA NA NA 438 NA NA 441 439 442 451 NA NA 452 NA NA 452 454 449 421 437 421 442 NA NA NA NA NA
2010-05-17 NA NA NA NA NA NA NA NA 438 NA NA 446 442 446 450 NA NA 458 NA NA 467 458 431 427 440 424 443 NA 461 NA NA NA
2010-05-18 NA NA NA NA NA NA NA NA 442 NA NA 452 455 452 441 NA NA 457 NA NA 470 453 431 426 450 429 444 NA 472 NA NA 475
2010-05-19 NA NA NA NA NA NA NA NA 443 NA NA 447 453 446 453 NA NA 456 NA NA 464 450 433 433 447 433 444 NA 464 NA NA 467
2010-05-20 NA NA NA NA NA NA NA NA 444 NA NA 452 456 452 457 NA NA 454 NA NA 460 451 431 426 449 426 444 NA 464 NA NA 466
2010-05-21 NA NA NA NA NA NA NA NA 448 NA NA 455 455 449 454 NA NA 455 NA NA 459 450 436 431 452 432 444 NA 470 NA NA 469
2010-05-22 NA NA NA NA NA NA NA NA 444 NA NA 457 452 447 461 NA NA 459 NA NA 468 449 436 435 450 436 442 NA 462 NA NA 462
