"Dates" "2-07" "2-08" "2-09" "2-11" "2-12" "2-13" "2-14" "2-15" "2-16" "2-17" "2-18" "2-19" "2-20" "2-21" "2-22" "2-23" "2-24" "2-26" "2-27" "2-28" "2-29" "2-30" "2-31" "2-34" "2-37" "3-23" "3-24" "3-25" "3-27" "3-28" "3-29" "3-30" "3-31" "3-32" "3-35"
2011-03-23 481 484 475 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 481 434 488 NA NA NA 476 NA NA NA NA NA NA NA NA NA NA NA
2011-03-24 480 494 474 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 483 433 489 NA NA NA 479 NA NA NA NA NA NA NA NA NA NA NA
2011-03-25 481 488 475 481 493 479 492 488 479 502 490 495 490 504 482 486 481 487 488 489 492 338 477 1180 488 489 482 515 483 523 498 501 484 503 495
2011-03-26 906 526 480 994 492 485 493 492 483 504 492 493 495 503 485 487 482 627 553 491 494 335 489 1108 491 491 496 517 511 522 484 502 482 496 496
2011-03-27 971 654 490 1042 516 497 492 492 484 503 486 497 492 492 485 486 482 1011 570 489 494 449 480 1020 490 493 497 514 511 520 501 505 486 501 497
2011-03-28 670 608 468 974 660 630 611 475 480 487 489 488 481 471 472 477 480 994 530 483 477 479 472 1030 475 480 477 500 498 510 485 494 486 485 485
2011-03-29 552 589 469 946 730 660 771 483 519 488 507 499 465 483 474 471 471 1036 608 582 476 474 475 1085 477 481 483 497 492 502 471 483 472 484 483
2011-03-30 581 570 474 1054 774 828 891 497 562 494 670 531 484 483 476 470 472 1068 535 709 483 481 478 1030 483 486 483 495 493 507 475 495 475 488 485
2011-03-31 911 863 473 1010 735 NA 913 736 500 500 741 586 479 489 472 477 470 1010 533 800 487 475 476 1060 491 490 480 497 491 505 479 487 477 486 491
2011-04-01 1012 762 837 1010 573 798 670 600 490 509 665 527 476 506 475 482 474 714 531 851 493 482 478 1011 485 509 485 510 491 508 485 494 481 488 493
2011-04-02 1049 560 733 904 494 879 589 522 477 523 562 494 474 493 479 480 474 511 540 854 482 472 478 1089 473 523 485 515 492 504 482 498 485 487 498
2011-04-03 1042 544 632 938 487 828 598 502 476 553 527 480 471 488 477 481 475 497 508 855 478 479 478 1048 473 527 484 518 NA 503 483 506 483 488 510
2011-04-04 1030 523 625 910 481 801 580 510 479 564 505 480 476 494 477.8 477 475 488 NA 852 480 479 484 1040 469 529 488 517 498 506 488 516 485 490 499
2011-04-05 1033 505 571 778 476 793 537 482 476 558 490 472 467 486 468 474 470 478 526 832 472 480 485 1102 465 521 483 505 496 503 520 460 481 490 428
2011-04-06 1058 756 664 1030 542 681 563 820 474 570 488 481 469 486 471 476 466 970 515 825 481 480 486 1174 468 517 484 508 498 505 510 465 481 490 429
