"Dates" "2-07" "2-08" "2-09" "2-11" "2-12" "2-13" "2-14" "2-15" "2-16" "2-17" "2-18" "2-19" "2-20" "2-21" "2-22" "2-23" "2-24" "2-26" "2-27" "2-28" "2-29" "2-30" "2-31" "2-34" "2-37" "3-23" "3-24" "3-25" "3-27" "3-28" "3-29" "3-30" "3-31" "3-32" "3-35"
2011-03-23 34.90761212 40.85848484 34.96259394 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 39.39490909 22.69056969 37.01530909 NA NA NA 36.75391515 NA NA NA NA NA NA NA NA NA NA NA
2011-03-24 34.36968485 40.2452606 31.46487272 NA NA NA NA NA NA NA NA NA NA NA NA NA NA 37.22178181 22.55933333 36.15587878 NA NA NA 35.82196363 NA NA NA NA NA NA NA NA NA NA NA
2011-03-25 34.76861818 38.90192727 32.21482424 37.52843636 42.34581818 36.40174545 47.04427878 44.98769697 42.70682424 54.71930909 52.51849696 50.51254545 50.5350909 53.57322424 38.29408484 62.76426666 41.82964848 42.4156606 25.55993939 34.20073939 51.3252606 31.41250909 32.60248485 6.311784589 55.81090909 44.34586666 27.58315151 61.96138181 27.33132121 59.01728484 54.41374545 58.59233939 25.77564848 45.67099393 49.98184242
2011-03-26 39.1844606 46.1542303 35.46650909 34.41059394 41.50545454 41.02464242 46.35376969 44.31248484 42.94043636 56.34964848 48.87144242 52.90048484 46.70637575 50.2466909 37.44335757 61.48807272 42.20409697 40.17927272 23.52989091 36.03424242 53.91020606 30.9960606 31.85740606 6.334402482 53.74934545 41.54221818 40.92113939 65.0676606 45.85002424 57.43465454 50.50512727 57.86350302 24.65110303 47.5414303 50.63953939
2011-03-27 41.13483636 45.11168484 34.73095757 24.16078788 42.69150303 43.4196 47.57964848 48.78408484 43.33564848 60.91138181 50.91999999 52.47905454 46.00041212 48.96471515 37.97425454 63.14489696 41.85630303 34.54705454 28.63945454 36.91881212 52.6778303 24.64973333 33.1124606 6.764289963 53.39410909 51.30368484 47.35804848 63.11682424 51.5254303 58.63350302 57.8814909 61.94675151 24.41355151 46.77351515 53.27881212
2011-03-28 37.82277575 48.30670303 34.39969697 29.00992727 38.81638787 53.26675151 51.10465454 49.38316363 53.53898181 56.7334303 52.24231515 53.05185454 44.65814545 55.70774545 38.84478787 53.2010909 44.83658181 18.24272727 39.98072727 37.49250909 53.74666666 24.50419394 29.48210909 6.252964656 51.99835151 56.15781818 60.22060605 62.31620605 57.45604848 61.69513939 54.07724848 62.02802424 24.6600606 51.15420606 59.53864242
2011-03-29 37.98397575 39.6732606 36.36321212 29.60315151 40.27967272 50.03557575 51.07636363 43.42833939 50.89184242 55.50219393 52.88888484 54.22729696 44.94918787 55.86992727 43.02856969 49.82367272 41.6730303 14.15734545 28.84084848 36.9868606 55.03950302 24.42975757 33.03151515 6.192785862 50.18052121 54.11123636 48.24752727 54.44112727 53.96032727 59.31495757 46.66831515 62.88254545 25.45826666 48.53929696 52.58414545
2011-03-30 40.0765018 41.91178347 36.32987767 18.09949981 39.65282373 37.70318793 50.23354427 45.48773659 51.8808534 55.39318928 53.26392417 52.65660562 46.04774111 51.60401996 41.14712883 47.48552727 41.49367272 12.2706572 27.2999574 36.78732092 59.92018294 23.9443693 31.88255485 6.223807252 56.70418181 53.01930493 49.40052139 57.18110344 57.75794598 62.20115067 51.84436062 49.12127234 26.06912406 48.76395692 53.40622282
2011-03-31 28.68505159 39.1894172 38.46460689 15.65765725 40.07052069 NA 50.80691937 43.71631281 49.06303008 56.23610639 50.24253822 53.75622899 48.63645505 51.10740091 39.4623286 65.33208626 43.46928686 12.36152367 28.46022972 38.84982226 58.22671857 25.04186228 32.55375804 6.163711836 59.00330869 52.30878331 47.2178007 60.75131612 55.49450263 60.31024737 57.76240284 53.72711677 26.46166651 48.03746191 53.45858201
2011-04-01 24.90292411 74.50672971 41.04331964 14.39118686 51.2935818 39.71435514 77.65601865 47.50664983 44.97689124 60.85811141 49.90346918 50.38827755 47.96000168 49.97394106 39.11734977 68.43231408 44.40866826 46.42540655 26.00646951 37.48477502 50.68526491 24.27625387 31.41303351 6.196516112 54.09266847 46.90243325 46.35086111 60.85631084 58.55074124 60.56114188 64.34613958 54.31776667 24.81485655 46.93571708 47.95315594
