Well_ID	X	Y 	Top_Elev(m)	Borehole_ID	top_screen_depth(ft)	bot_screen_Depth(ft)	H/R_Depth(ft, gamma)
399-2-05	594287.74	116068.8	115	NA	23	45	NA
399-2-07	594235.2	116084.49	114.91	C6184	31	39.5	53.5
399-2-08	594243.48	116090.31	114.925	C6185	31	39.5	52.5
399-2-09	594237.72	116089.72	114.908	C6186	33.5	39.5	59.5
399-2-10	594234.56	116094.49	114.958	C6187	34.7	39.5	59
399-2-11	594236.25	116074.49	114.963	C6188	31	39.5	55.5
399-2-12	594252.45	116086.01	114.855	C6189	31	39.5	53
399-2-13	594237.15	116064.59	114.958	C6190	31.2	39.5	55.5
399-2-14	594245.3	116070.17	114.834	C6191	30.7	39.5	54.5
399-2-15	594253.3	116076.02	114.88	C6192	31	39.5	55
399-2-16	594261.55	116081.92	114.797	C6193	31	39.5	54
399-2-17	594246.11	116060.29	114.87	C6195	31.2	39.5	55.5
399-2-18	594254.15	116066.13	114.862	C6196	33	39.5	57
399-2-19	594262.72	116071.76	114.866	C6197	31.3	39.4	54
399-2-20	594270.58	116077.64	114.886	C6198	31	39.5	55.5
399-2-21	594263.3	116061.9	114.84	C6201	31.1	39.1	55
399-2-22	594279.68	116073.37	114.87	C6202	33.4	39	58
399-2-23	594272.27	116057.59	114.875	C6207	31	43.5	55.5
399-2-24	594280.67	116063.29	114.889	C6208	33	39.5	58
399-2-25	594269.21	116088.06	115.638	C6209	62	122	58
399-2-26	594243.95	116081.03	114.915	C6210	30	35	58
399-2-27	594244.12	116078.15	114.896	C6211	54.7	56.7	57.5
399-2-28	594246.41	116079.99	114.855	C6212	42	44	56.5
399-2-29	594270.82	116068.13	114.891	C6216	29.7	34.7	55.5
399-2-30	594271.18	116065.52	114.913	C6217	54	56	55.5
399-2-31	594273.58	116067.24	114.894	C6218	42	44	55.5
399-3-23	594237.9	116054.72	115.014	C6194	31	39.5	53.5
399-3-24	594238.8	116044.6	114.978	C6199	31	56	52.5
399-3-25	594255.11	116056.03	114.875	C6200	31.6	38.5	57
399-3-26	594239.81	116034.77	114.986	C6203	32	39.5	52
399-3-27	594247.94	116040.66	114.93	C6204	31	56	50.5
399-3-28	594256.1	116045.98	114.9	C6205	31	39.5	56.5
399-3-29	594264.27	116051.97	114.898	C6206	31	43.5	52.5
399-3-30	594246.32	116051.35	114.876	C6213	30	35	55.5
399-3-31	594246.73	116048.27	114.886	C6214	53.2	55.2	55.5
399-3-32	594249.07	116050.05	114.878	C6215	42.2	44.2	56
399-3-35	594244.44	116054.32	114.903	C7874	22.5	37.5	NA
399-2-34	594240.62	116085.66	114.896	C7875	22	37	NA
399-2-37	594268.99	116071.63	114.89	C7876	23	38	NA
399-1-60	594176.28	116084.48	115.209	C7867	NA	NA	61
399-2-33	594263.56	116145.76	114.838	C7868	NA	NA	57
399-3-37	594324.79	116058.4	114.72	C7869	NA	NA	41
399-3-34	594237.38	115997.38	115.217	C7870	NA	NA	53
399-3-21	NA	NA	NA	NA	NA	NA	NA
399-3-22	594217.71	115947.53	118.471	C5706	NA	NA	NA
399-4-14	594396.18	115604.7	117.99	C5707	NA	NA	NA
399-3-18	594464.71	116019.98	117.68	C4999	NA	NA	NA
399-3-19	594071.94	116030.22	120.647	C5001	NA	NA	NA
399-3-20	594375.42	115849.7	120.448	C5002	NA	NA	NA
