sampled,Date,River SectioNo,SegmeNot,TraNosect,FB Yes_No,Time,WaypoiNot,Coord No,Coord E,Dom_Sub,SubDom_Sub,Embedded,VegetatioNo,Area Sampled,ChiNoook,NoPM,Stickleback,SculpiNo,Dace,Sucker,Site
yes,3/2/2013,2,6,221,Yes,10:36,B221LS03,46.57275,119.34306,9,9,1,1,74.7,,,,,,,56
yes,3/2/2013,2,6,221,Yes,10:15,B221LS01,46.57273,119.34286,8,9,3,1,78.5,,,,,,,56
yes,3/2/2013,2,6,221,Yes,10:25,B221LS02,46.57272,119.34277,1,9,3,2,63.74,,,,,,,56
yes,3/3/2013,1,2,82,Yes,11:37,B082LS01,46.39145,119.36725,9,9,1,1,13.3,,,,,,,21
yes,3/5/2013,2,3,159,Yes,12:07,B159RS01,46.40528,119.27645,5,7,2,1,18.9,,,,,,,40
yes,3/5/2013,2,3,159,Yes,12:11,B159RS02,46.40533,119.27648,5,7,2,1,18.9,,,,,,,40
yes,3/5/2013,2,3,159,Yes,12:16,B159RS03,46.40525,119.27643,5,7,2,1,18.9,,,,,,,40
yes,3/5/2013,2,3,159,Yes,12:35,B159LS01,46.40616,119.27176,1,1,4,1,27.4,,,,,,,40
yes,3/5/2013,2,3,159,Yes,12:37,B159LS02,46.40621,119.27173,1,1,4,1,18.9,,,,,,,40
yes,3/5/2013,2,3,159,Yes,12:42,B159LS03,46.4061,119.27179,1,1,4,1,18.9,,,,,,,40
yes,3/5/2013,2,4,169,Yes,9:49,B169RS01,46.39531,119.26266,6,8,2,1,31.9,1,,,,,,43
yes,3/5/2013,2,4,169,Yes,10:10,B169RS02,46.39527,119.26262,6,8,2,1,34.9,,,,,,,43
yes,3/5/2013,2,4,169,Yes,10:30,B169RS03,46.39537,119.26271,6,8,2,1,27.4,,,,,,,43
yes,3/5/2013,2,4,169,Yes,11:15,B169LS01,46.39844,119.25908,1,1,4,1,70.4,,,,,,,43
yes,3/5/2013,2,4,169,Yes,11:24,B169LS02,46.39841,119.259,1,1,4,1,47.2,,,,,,,43
yes,3/6/2013,3,8,343,Yes,10:36,B343IL02,46.1966,119.15314,1,3,4,1,40.66,,,,,,,86
yes,3/6/2013,3,8,343,Yes,10:40,B343IL03,46.19649,119.15316,1,4,4,1,66.6,,,,,,,86
yes,3/6/2013,3,8,343,Yes,10:31,B343MIL01,46.19655,119.15315,1,3,4,1,58.16,,,,,,,86
yes,3/6/2013,3,8,355,Yes,9:35,B355MIL01,46.18114,119.15639,6,9,3,1,39.25,,,,,,,89
yes,3/6/2013,3,8,355,Yes,9:45,B355MIL02,46.18119,119.15636,6,8,3,1,39.25,,,,,,,89
yes,3/6/2013,3,8,355,Yes,9:51,B355MIL03,46.18109,119.1564,6,8,3,1,39.25,,,,,,,89
yes,3/6/2013,3,8,357,Yes,9:13,B357RS01,46.17916,119.15943,1,3,4,2,34.5,,,,,,,90
yes,3/6/2013,3,8,357,Yes,9:15,B357RS02,46.1791,119.15947,1,6,4,1,35.46,,,,,,,90
yes,3/6/2013,3,8,357,Yes,9:23,B357RS03,46.17921,119.1594,1,8,4,2,28.37,,,,,,,90
yes,3/6/2013,3,8,359,Yes,9:03,B359RS05,46.17676,119.16067,1,4,4,1,58.16,,,,,,,90
yes,3/6/2013,3,8,359,Yes,8:32,B359RS01,46.17664,119.16073,1,7,4,1,53.43,,,,,,,90
yes,3/6/2013,3,8,359,Yes,8:40,B359RS02,46.17659,119.16075,1,2,4,1,62.66,,,,,,,90
yes,3/6/2013,3,8,359,Yes,8:48,B359RS03,46.17653,119.16077,1,5,4,2,43.97,,,,,,,90
yes,3/6/2013,3,8,359,Yes,8:54,B359RS04,46.17671,119.16069,1,4,4,1,66.67,,,,,,,90
yes,3/7/2013,1,1,27,Yes,11:15,B027MIL02,46.37936,119.46724,8,6,2,1,9.45,,,,,,,7
yes,3/7/2013,1,1,27,Yes,11:27,B027MIL03,46.37939,119.46713,8,6,2,1,9.45,,,,,,,7
yes,3/7/2013,1,1,27,Yes,11:00,B027MIL01,46.37938,119.46718,8,6,2,1,30.5,,,,,,,7
yes,3/7/2013,1,2,66,Yes,9:20,B066RS01,46.38332,119.39613,8,6,2,1,37.83,,,,,,,17
yes,3/7/2013,1,2,66,Yes,9:27,B066RS02,46.38331,119.39607,8,6,2,1,29.55,,,,,,,17
yes,3/7/2013,1,2,66,Yes,9:47,B066RS03,46.38333,119.39622,8,6,2,1,30.5,,,,,,,17
yes,3/8/2013,1,2,77,Yes,10:46,B077MIL01,46.38885,119.37609,6,8,1,1,29.3,,,,,,,20
yes,3/8/2013,1,2,77,Yes,11:00,B077MIL02,46.38885,119.37619,6,8,1,1,18.9,,,,,,,20
yes,3/8/2013,1,2,77,Yes,11:14,B077MIL03,46.38889,119.37601,6,8,1,1,18.9,,,,,,,20
yes,3/10/2013,3,7,251,Yes,11:15,B251MIL03,46.52443,119.27684,4,8,3,1,39.25,,,,,,,63
yes,3/10/2013,3,7,251,Yes,9:37,B251RS02,46.52286,119.28002,1,1,4,1,27.4,,,,,,,63
yes,3/10/2013,3,7,251,Yes,9:48,B251RS03,46.523,119.27999,1,9,4,1,27.4,,,,,,,63
yes,3/10/2013,3,7,251,Yes,10:19,B251MIL01,46.52451,119.27694,4,8,3,1,39.25,,,,,,,63
yes,3/10/2013,3,7,251,Yes,10:49,B251MIL02,46.52456,119.27703,4,8,3,1,39.25,,,,,,,63
yes,3/10/2013,3,7,251,Yes,8:50,B251MIR01,46.52376,119.27831,4,8,3,2,18.9,,,,,,,63
yes,3/10/2013,3,7,251,Yes,9:01,B251MIR02,46.52368,119.27824,4,8,3,2,18.9,,,,,,,63
yes,3/10/2013,3,7,251,Yes,9:14,B251MIR03,46.52385,119.27839,4,8,3,2,18.9,,,,,,,63
yes,3/10/2013,3,7,251,Yes,9:33,B251RS01,46.52292,119.28004,1,9,4,1,27.4,,,,,,,63
yes,3/10/2013,3,7,288,Yes,12:16,B288MIR01,46.44717,119.26809,2,5,2,1,31.2,,,,,,,72
yes,3/10/2013,3,7,288,Yes,12:25,B288MIR02,46.44709,119.26811,2,5,2,1,31.2,,,,,,,72
yes,3/10/2013,3,7,288,Yes,12:40,B288MIR03,46.44723,119.26807,2,4,2,1,31.2,,,,,,,72
yes,3/11/2013,1,2,65,Yes,10:31,B065RS02,46.63979,119.66361,3,9,2,1,57.21,,,,,,,17
yes,3/11/2013,1,2,65,Yes,10:48,B065RS03,46.6397,119.66338,3,9,2,1,73.5,,,,,,,17
yes,3/11/2013,1,2,65,Yes,8:57,B065LS01,46.64259,119.66235,3,9,2,1,58.16,,,,,,,17
yes,3/11/2013,1,2,65,Yes,9:38,B065LS02,46.64263,119.66246,3,9,2,1,66.9,,,,,,,17
yes,3/11/2013,1,2,65,Yes,10:00,B065LS03,46.64256,119.66224,3,9,2,1,78.5,,,,,,,17
yes,3/11/2013,1,2,65,Yes,10:17,B065RS01,46.63976,119.66346,3,9,2,1,78.5,,,,,,,17
yes,3/11/2013,1,2,72,Yes,11:57,B072LS03,46.64405,119.64147,3,9,2,1,35.4,,,,,,,18
yes,3/11/2013,1,2,72,Yes,11:18,B072LS01,46.64404,119.64129,3,9,2,1,27.4,,,,,,,18
yes,3/11/2013,1,2,72,Yes,11:40,B072LS02,46.64404,119.64138,3,9,2,1,32.1,,,,,,,18
yes,3/11/2013,1,2,76,Yes,12:49,B076LS02,46.64538,119.62864,3,9,2,1,27.4,,,,,,,19
yes,3/11/2013,1,2,76,Yes,13:00,B076LS03,46.64529,119.62888,3,8,2,1,27.4,,,,,,,19
yes,3/11/2013,1,2,76,Yes,12:39,B076LS01,46.64537,119.62878,3,9,2,1,27.4,,,,,,,19
yes,3/12/2013,1,2,119,Yes,10:10,B119RS03,46.42694,119.31848,7,9,2,1,36.4,,,,,,,30
yes,3/12/2013,1,2,119,Yes,10:29,B119RS04,46.42689,119.31849,7,9,2,1,40.43,,,,,,,30
yes,3/12/2013,1,2,119,Yes,9:14,B119RS01,46.71162,119.53078,7,9,2,1,39.9,,,,,,,30
yes,3/12/2013,1,2,119,Yes,9:43,B119RS02,46.71172,119.53086,7,9,2,1,39.9,,,,,,,30
yes,3/12/2013,1,2,119,Yes,10:45,B119RS05,46.42708,119.31841,7,9,2,1,34.5,,,,,,,30
yes,3/12/2013,2,3,125,Yes,12:16,B125LS01,46.43661,119.31529,1,3,1,1,27.4,,,,,,,32
yes,3/12/2013,2,3,125,Yes,12:20,B125LS02,46.72768,119.52547,1,3,1,1,27.4,,,,,,,32
yes,3/12/2013,2,3,125,Yes,12:23,B125LS03,46.4366,119.31537,1,4,2,1,31.2,,,,,,,32
yes,3/12/2013,2,3,125,Yes,11:50,B125RIR02,46.43312,119.31236,8,4,1,1,21.75,,,,,,,32
yes,3/12/2013,2,3,125,Yes,12:39,B125RIL01,46.72295,119.52132,8,3,2,1,37.25,,,,,,,32
yes,3/12/2013,2,3,125,Yes,11:25,B125RIR01,46.72183,119.52045,8,4,1,1,25.29,,,,,,,32
yes,3/15/2013,2,4,185,Yes,8:54,B185LIL01,46.38034,119.24667,5,8,1,1,78.5,,,,,,,47
yes,3/15/2013,2,4,185,Yes,9:38,B185LIL02,46.38031,119.24673,5,8,1,1,39.25,,,,,,,47
yes,3/15/2013,2,4,185,Yes,10:08,B185MIM01,46.38027,119.2472,5,7,2,1,48.74,,,,,,,47
yes,3/15/2013,2,4,185,Yes,10:22,B185MIM02,46.38026,119.24729,5,7,2,1,78.5,,,,,,,47
yes,3/15/2013,2,4,185,Yes,11:18,B185MIR02,46.38028,119.24806,5,8,2,1,66.3,,,,,,,47
yes,3/15/2013,2,4,185,Yes,11:27,B185MIR03,46.38018,119.24804,4,7,2,1,48.47,,,,,,,47
yes,3/15/2013,2,4,185,Yes,10:36,B185MIM03,46.38021,119.24746,5,7,2,1,39.25,,,,,,,47
yes,3/15/2013,2,4,185,Yes,11:10,B185MIR01,46.38022,119.24805,5,8,2,1,53.4,,,,,,,47
yes,3/15/2013,2,4,185,Yes,12:38,B185RIL03,46.37997,119.24917,7,4,2,1,78.5,,,,,,,47
yes,3/15/2013,2,4,185,Yes,12:44,B185RIL04,46.38002,119.24922,6,4,2,1,14.2,,,,,,,47
yes,3/15/2013,2,4,185,Yes,12:17,B185RIL01,46.38003,119.24914,6,8,2,1,78.5,,,,,,,47
yes,3/15/2013,2,4,185,Yes,12:30,B185RIL02,46.37998,119.24915,5,7,2,1,78.5,,,,,,,47
yes,3/15/2013,2,4,185,Yes,12:50,B185RIL05,46.38009,119.24922,6,7,2,2,14.2,,,,,,,47
yes,3/15/2013,2,4,185,Yes,12:55,B185RIL06,46.37998,119.24922,6,7,2,1,14.2,,,,,,,47
yes,3/15/2013,2,4,185,Yes,12:59,B185RIR01,46.37993,119.24974,4,3,3,1,48.72,,,,,,,47
yes,3/15/2013,2,4,185,Yes,13:02,B185RIR02,46.37998,119.24976,4,1,3,1,45.39,,,,,,,47
yes,3/15/2013,2,4,185,Yes,13:05,B185RIR03,46.37988,119.2497,4,3,3,1,39.25,,,,,,,47
yes,3/16/2013,3,7,274,Yes,16:21,B274LS05,46.47684,119.26115,3,8,3,1,39.25,2,,,,,,69
yes,3/16/2013,3,7,274,Yes,13:50,B274LS01,46.47668,119.26112,3,8,3,1,39.25,3,,,,,,69
yes,3/16/2013,3,7,274,Yes,14:33,B274LS02,46.47679,119.26112,3,8,3,1,39.25,,,,,,,69
yes,3/16/2013,3,7,274,Yes,15:01,B274LS03,46.4766,119.2611,3,8,3,1,39.25,1,,,,,,69
yes,3/16/2013,3,7,274,Yes,15:52,B274LS04,46.4765,119.26109,3,8,3,1,39.25,,,,,,,69
yes,3/19/2013,1,2,73,Yes,10:25,B073LS01,46.64527,119.36838,8,4,1,1,18.91,,,,,,,19
yes,3/19/2013,1,2,73,Yes,10:45,B073LS02,46.6453,119.63827,8,4,1,1,9.45,,,,,,,19
yes,3/19/2013,1,2,73,Yes,11:00,B073LS03,46.64523,119.63851,8,5,2,1,18.91,,,,,,,19
yes,3/19/2013,2,4,169,Yes,12:50,B169LS01,46.66444,119.43182,1,1,4,1,38.75,,,,,,,43
yes,3/19/2013,2,4,169,Yes,13:01,B169LS02,46.6645,119.43199,1,1,4,1,38.75,,,,,,,43
yes,3/19/2013,2,4,169,Yes,13:10,B169LS03,46.66434,119.43153,1,1,4,1,38.75,,,,,,,43
yes,3/20/2013,1,1,9,Yes,9:40,B009LS01,46.62751,119.83646,8,3,1,1,27.42,,,,,,,3
yes,3/20/2013,1,1,9,Yes,9:52,B009LS02,46.62753,119.83633,8,3,1,1,21.7,,,,,,,3
yes,3/20/2013,1,1,9,Yes,10:05,B009LS03,46.6275,119.83656,8,3,1,1,18.91,,,,,,,3
yes,3/20/2013,1,2,113,Yes,12:20,B113MIR01,46.70153,119.54162,8,5,2,1,18.91,,,,,,,29
yes,3/20/2013,1,2,113,Yes,12:50,B113MIR02,46.7016,119.54148,8,4,1,1,18.91,,,,,,,29
yes,3/20/2013,1,2,113,Yes,13:01,B113MIR03,46.70151,119.54173,7,3,2,1,9.45,,,,,,,29
yes,3/21/2013,1,2,66,Yes,12:02,B066RS02,46.63885,119.63889,7,9,3,1,18.91,,,,,,,17
yes,3/21/2013,1,2,66,Yes,12:25,B066RS03,46.63889,119.66033,7,9,3,1,18.91,,,,,,,17
yes,3/21/2013,1,2,66,Yes,11:45,B066RS01,46.6389,119.66019,7,9,3,1,18.91,,,,,,,17
yes,3/21/2013,1,2,75,Yes,9:40,B075LS01,46.64469,119.63121,8,9,2,1,18.91,,,,,,,19
yes,3/21/2013,1,2,75,Yes,9:58,B075LS02,46.64473,119.63109,8,9,2,1,16.01,,,,,,,19
yes,3/21/2013,1,2,75,Yes,10:20,B075LS03,46.64479,119.631,8,9,2,1,16.07,,,,,,,19
yes,3/21/2013,1,2,75,Yes,10:40,B075LS04,46.6447,119.63134,8,9,2,1,16.07,,,,,,,19
yes,3/21/2013,1,2,75,Yes,10:55,B075LS05,46.64463,119.63141,8,9,2,1,16.07,,,,,,,19
yes,3/23/2013,1,1,49,Yes,11:40,B049RS01,46.64666,119.71239,8,4,2,1,14.18,,,,,,,13
yes,3/23/2013,1,1,49,Yes,11:52,B049RS02,46.64669,119.71231,8,4,2,1,14.18,,,,,,,13
yes,3/23/2013,1,1,49,Yes,12:08,B049RS03,46.64664,119.71249,8,4,2,1,53.43,,,,,,,13
yes,3/23/2013,1,2,72,Yes,10:54,B072LS03,46.64403,119.64137,8,9,1,1,23.17,,,,,,,18
yes,3/23/2013,1,2,72,Yes,10:27,B072LS01,46.64403,119.64127,8,9,1,1,23.17,,,,,,,18
yes,3/23/2013,1,2,72,Yes,10:40,B072LS02,46.64403,119.6412,8,9,1,1,23.17,,,,,,,18
yes,3/23/2013,1,2,72,Yes,9:58,B072RS03,46.64009,119.63952,9,8,1,1,18.91,,,,,,,18
yes,3/23/2013,1,2,72,Yes,9:33,B072RS01,46.64005,119.63966,9,8,1,1,18.91,,,,,,,18
yes,3/23/2013,1,2,72,Yes,9:45,B072RS02,46.64002,119.63976,9,8,1,1,18.91,,,,,,,18
yes,3/24/2013,3,7,248,Yes,8:40,B248RS01,46.52812,119.2843,1,9,4,1,12.95,,,,,,,62
yes,3/24/2013,3,7,248,Yes,8:45,B248RS02,46.52806,119.2842,1,9,4,1,12.95,,,,,,,62
yes,3/24/2013,3,7,248,Yes,8:51,B248RS03,46.52819,119.28437,1,9,4,1,12.95,,,,,,,62
yes,3/24/2013,3,7,293,Yes,11:57,B293MIL01,46.4357,119.26243,7,4,2,1,14.19,,,,,,,74
yes,3/24/2013,3,7,293,Yes,12:10,B293MIL02,46.43577,119.26243,7,4,2,1,14.19,,,,,,,74
yes,3/24/2013,3,7,293,Yes,12:19,B293MIL03,46.43567,119.26241,7,4,2,1,14.19,,,,,,,74
yes,3/24/2013,3,7,293,Yes,12:12,B293MIR01,46.43605,119.26892,1,7,4,1,34.52,,,,,,,74
yes,3/24/2013,3,7,293,Yes,12:17,B293MIR02,46.4361,119.26891,1,7,4,1,34.52,,,,,,,74
yes,3/24/2013,3,7,293,Yes,12:22,B293MIR03,46.43598,119.26892,1,7,4,1,34.52,,,,,,,74
yes,3/24/2013,3,7,306,Yes,10:55,B306MIR01,46.40684,119.2636,7,3,2,1,39.25,,,,,,,77
yes,3/24/2013,3,7,306,Yes,10:30,B306MIR02,46.40676,119.26361,7,3,2,1,39.25,,,,,,,77
yes,3/24/2013,3,7,306,Yes,10:48,B306MIR03,46.40693,119.26358,7,3,2,1,39.25,,,,,,,77
yes,3/24/2013,3,7,306,Yes,11:16,B306MIL01,46.40682,119.26326,4,7,2,1,34.52,,,,,,,77
yes,3/24/2013,3,7,306,Yes,11:24,B306MIL02,46.40672,119.26328,4,7,2,1,34.52,,,,,,,77
yes,3/24/2013,3,7,306,Yes,11:10,B306MIL03,46.40692,119.26324,4,7,2,1,35.93,,,,,,,77
yes,3/25/2013,1,1,48,Yes,12:46,B048RS01,46.64586,119.71534,6,9,3,1,12.95,,,,,,,12
yes,3/25/2013,1,1,48,Yes,13:17,B048RS02,46.6458,119371542,3,8,3,1,19.39,1,,,,,,12
yes,3/25/2013,1,1,48,Yes,13:51,B048RS04,46.6459,119.71525,4,9,3,1,12.95,,,,,,,12
yes,3/25/2013,1,1,48,Yes,13:38,B048RS03,46.64574,119.71551,3,8,3,1,12.95,,,,,,,12
yes,3/25/2013,1,1,48,Yes,14:10,B048RS05,46.64596,119.71515,3,8,3,1,14.19,,,,,,,12
yes,3/27/2013,1,2,74,Yes,13:56,B047MIR01,46.64422,119.63439,4,8,2,1,27.66,,,,,,,19
yes,3/27/2013,1,2,74,Yes,14:15,B047MIR02,46.64424,119.63427,4,8,2,1,34.04,,,,,,,19
yes,3/27/2013,1,2,74,Yes,14:24,B047MIR03,46.64423,119.63448,4,8,2,1,34.52,,,,,,,19
yes,3/27/2013,1,2,74,Yes,15:00,B047MIL01,46.64568,119.63518,4,8,2,1,27.42,,,,,,,19
yes,3/27/2013,1,2,74,Yes,15:15,B047MIL02,46.64566,119.6353,5,9,2,1,27.42,,,,,,,19
